file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
3124211214_00,1,0,0,0,0,0,0,0,0
3114111212_00,1,0,0,0,0,0,0,0,0
2214211214_00,1,0,0,0,0,0,0,0,0
3224211214_00,0,1,1,0,0,0,0,0,0
3214211212_00,0,0,0,0,1,0,0,1,1
3124111212_00,0,1,1,1,0,0,0,0,0
2224111212_00,0,1,0,0,0,0,0,0,0
2214111212_00,0,1,1,0,0,0,0,0,0
3214111214_00,0,1,1,1,0,1,0,0,1
3214211214_00,0,1,1,0,1,0,0,0,1
2214211212_00,0,0,0,0,1,0,0,1,1
3224211212_00,0,1,1,1,1,0,0,0,1
2124211212_00,0,1,1,0,0,0,0,0,0
2224211212_00,0,0,0,0,1,0,0,0,1
3224111214_00,0,1,1,1,1,0,0,1,1
3114211214_00,0,1,1,0,0,0,0,0,1
2114111214_00,0,1,1,0,0,0,0,0,0
3114211212_00,1,0,0,0,0,0,0,0,0
2224111214_00,0,1,1,1,1,0,0,0,1
2114211212_00,1,0,0,0,0,0,0,0,0
2114111212_00,0,1,1,0,0,0,0,0,0
2124211214_00,1,0,0,0,0,0,0,0,0
3214111212_00,0,0,0,0,1,0,0,1,1
2224211214_00,0,0,0,0,1,0,0,1,1
2114211214_00,1,0,0,0,0,0,0,0,0
2214111214_00,1,0,0,0,0,0,0,0,0
3224111212_00,0,0,0,0,1,0,0,0,1
3124111214_00,0,1,1,0,0,0,0,0,0
3124211212_00,1,0,0,0,0,0,0,0,0
2124111214_00,0,1,0,0,0,0,0,0,0
2124111212_00,0,1,1,0,0,0,0,0,0
3114111214_00,1,0,0,0,0,0,0,0,0
